X,Y,OBJECTID,ADDRESS,ARTIST,TITLE,MEDIUM,YEAR,ART_TYPE,DISPLAY,LOCATION,NEIGHBORHOOD,SIZE_,WARD,DURATION,PROGRAM_SOURCE,ARTWORK
-77.039449632006907,38.901347835241339,115,17TH STREET NW AND I STREET NW,Michael Enn Sirvet,Farragut Spheres,"Aluminum, LED lighting elements",2012,Sculpture,"Farragut West Metro Station, located inside station entrance",17th street nw and i street nw,downtown,"Installation, variable",2,Permanent,PABC Grant,
-77.02066041322,38.915745873140381,116,FLORIDA AVENUE NW AND T STREET NW,Zachary Oxman,Encore,Stainless steel,2012,Sculpture,"Ellington Plaza, sculpture located in middle of plaza",florida avenue nw and t street nw,shaw,70”w x 95”l x 240”h,1,Permanent,Neighborhood Projects,
-77.032643383852189,38.928814415504867,117,14TH STREET NW AND IRVING STREET NW,Megan Walsh and Casa Del Pueblo Youth,Woven Identities,"Aerosol paint, MDF panels, wood, aluminum; neon tubes",1999,Installation,"Columbia Heights Metro Station, located inside Metro station",14th street nw and irving street nw,columbia heights,6' x 33',1,Permanent,Art in the Metro,
-77.044687320051466,38.924031138891621,118,ADAMS MILL ROAD NW AND ONTARIO PLACE NW,Aniekan,Untitled,Aerosol paint,2009,Mural,"Walter Pierce Park enterance, mural located along retaining wall near playground in front of basketball court",adams mill road nw and ontario place nw,mount pleasant,"2 walls- 225 sq. ft., front; 300 sq. ft., back",1,Temporary,MuralsDC,
-77.021916433126066,38.905651282344834,119,7TH STREET NW AND M STREET NW,Wendy Ross,Transit,Welded and coiled steel,2007,Suspended,"McPherson Sq Metro Station, artwork located  through architectural openings of the building façade",7th street nw and m street nw,mount vernon,2 spheres at 5 ft. 1 sphere at 6 ft. and one portal,6,Temporary,Art in the Metro,
-77.016167176488622,38.969931166130685,120,3RD STREET NW AND VAN BUREN STREET NW,Anne Marchand,"Building Blocks, High Up Close to Heaven",Acrylic on dibond panels,2006,Mural,"Takoma Recreation Center, located inside Center",3rd street nw and van buren street nw,takoma,7' x 18',4,Permanent,Inter District DPR,
-76.999644068604283,38.915666742466435,121,5TH STREET NE AND T STREET NE,"Midnight Forum, Lead Artist: Asad Walker",Changing Gears,Aerosol paint,2010,Mural,"Metropolitan Branch Bike Trail NE, mural located on bike trail not visible by public street",5th street ne and t street ne,eckington,,5,Temporary,MuralsDC,
-77.038524709973331,38.901352695846086,122,17TH STREET NW AND I STREET NW,Michael Enn Sirvet,Farragut Spheres,"Aluminum, LED lighting elements",2012,Sculpture,"Farragut West Metro Station, located inside station entrance",17th street nw and i street nw,downtown,"Installation, variable",2,Permanent,PABC Grant,
-76.950301001285112,38.900500050983631,123,GRANT PLACE NE AND BURNHAM PLACE NE,Barton Rubenstein,Huddle Up,Stainless steel,2014,Sculpture,"Parkside Plaza, sculptures located in park (Water)",grant place ne and burnham place ne,parkside,6 x 2.2' x 8 x 3.1' x 10 x 4',7,Permanent,PABC Grant,
-76.988204949929724,38.848125456151159,124,1100 ALABAMA AVENUE SE,Sheila Crider,St. Elizabeth's Mural,"Acrylic, graphite and paper on art board",2010,Mural,Saint Elizabeth Hospital- wall located in Forensic hallway,1100 alabama avenue se,saint elizabeth's,"7' x 33' x2""",8,Permanent,Neighborhood Projects,
-76.988204949929724,38.848125456151159,125,1100 ALABAMA AVENUE SE,Bill Gibbons,St. Elizabeth's Hospital,"Acrylic on canvas, glued to wall",2010,Mural,"Saint Elizabeth Hospital- main entrance to hospital, near reception desk",1100 alabama avenue se,saint elizabeth's,8 x 20',8,Permanent,Neighborhood Projects,
-76.988204949929724,38.848125456151159,126,1100 ALABAMA AVENUE SE,Walter Kravitz,Butterflies at Night,Acrylic urethane on polycarbonate,2010,Suspended,Saint Elizabeth Hospital campus,1100 alabama avenue se,saint elizabeth's,"12' x 12' x 28'; 13 suspended disks each 4' diam.",8,Permanent,Neighborhood Projects,
-76.988204949929724,38.848125456151159,127,1100 ALABAMA AVENUE SE,Nestor Madalengotia,Windows Into Home,Acrylic on board,2010,Mural,"Saint Elizabeth Hospital, Civil corridor",1100 alabama avenue se,saint elizabeth's,4 panels - 12' x 8' each,8,Permanent,Neighborhood Projects,
-76.988204949929724,38.848125456151159,128,1100 ALABAMA AVENUE SE,Roderick Turner,Healing Gardens,Acrylic paint on dibond panels,2010,Mural,Saint Elizabeth Hospital campus,1100 alabama avenue se,saint elizabeth's,4 x 30',8,Permanent,PABC Grant,
-76.93215784256401,38.908452418628208,129,1350 49TH STREET NE,Cheryl Foster,Deanwood Rocks,"Mosaic, stainless steel",2013,Sculpture,"Deanwood Recreation Center, sculpture located in front of building entrance",1350 49th street ne ,deanwood,14-16' tall,7,Permanent,Commissioned Project,
-76.93215784256401,38.908452418628208,130,1350 49TH STREET NE,Amber Robles-Gordon,Beyond the Visual Rainbow,"Chicken wire, fabric",2013,"Installation, wall hanging sculpture","Deanwood Recreation Center Library, installation located inside library",1350 49th street ne ,deanwood,50',7,Permanent,Commissioned Project,
-76.988352295631117,38.892011131986081,131,13TH STREET NE AND CONSTITUTION AVENUE NE,Marcia Billig,Balance,Bronze,,Sculpture,"North Lincoln Park Triangle Island, located a crossed from Maury Elementary School between 13th Street & Tennessee Avenue, NE","13th street ne & tennessee avenue, ne & constitution avenue ne",north lincoln park,12' tall x 2' wide x 2' deep  base 2' x  2' x 3',6,Permanent,Community Initiatives,
-77.029703182016675,38.94872784105852,132,13TH STREET NW AND ARKANSAS AVENUE NW,Jerome Meadows,"Together We Live, Together We Rise","Stone, colored concrete pathway inset with mosaics",2004,"Sculpture, mosaic","Elms Church Terrell Park, located inside park",13th street nw & arkansas avenue nw & emerson street nw,16th street heights,"1st: 6 1/2' x 30"" x7', 2nd: 12' x 5""; Walkway: 8'",4,Permanent,Community Initiatives,
-77.008529036331282,38.872367224165124,133,1500 SOUTH CAPITOL STREET SE,Timeless Creations,"Josh Gibson, Frank Howard and Walter Johnson",White bronze,2009,Sculpture,"Nationals Baseball Stadium, sculptures located inside main gate of stadium",1500 south capitol street se,navy yard,7 1/2 - 8' each,6,Permanent,Neighborhood Projects,
-77.008529036331282,38.872367224165124,134,1500 SOUTH CAPITOL STREET SE,Thomas Sayer,Curveball,"Polished stainless, cables, LED light",2010,Sculpture,"Nationals Baseball Stadium, work located  along parking deck",1500 south capitol street se,navy yard,6-8' dia. Each,6,Permanent,Commissioned Project,
-76.978627807395,38.865915649665844,135,1800 GOOD HOPE ROAD SE,Kamala Subramanian,Freedom of Mind,"Mixed, acrylic, watercolor, graphite, ink",2010,Mural,"Anacostia Library, mural located inside building",1800 good hope road se,anacostia,,8,Permanent,Inter District DCPL,
-77.001306499826015,38.900212686049244,136,H STREET NE FROM 3RD STREET NE TO 4TH STREET NE,Wilfredo Valladares,"DC8 Totem Poles, Totem 1",Wood,2010,Sculpture,Metropolitan Branch Trail (MBT) at the Rhode Island Entrance in NE,"300 block of h street ne (between 3rd & 4th street, ne)",old city,"8' x 90""",6,Permanent,Commissioned Project,
-77.001306499826015,38.900212686049244,137,H STREET NE FROM 3RD STREET NE TO 4TH STREET NE,Wilfredo Valladares,"DC8 Totem Poles, Totem 2","Acrylic panels, resin",2010,Sculpture,Metropolitan Branch Trail (MBT) at the Rhode Island Entrance in NE,"300 block of h street ne (between 3rd & 4th street, ne)",old city,9' x 2',6,Permanent,Commissioned Project,
-77.001306499826015,38.900212686049244,138,H STREET NE FROM 3RD STREET NE TO 4TH STREET NE,Wilfredo Valladares,"DC8 Totem Poles, Totem 3","Steel, corten steel, solar panels",2010,Sculpture,Metropolitan Branch Trail (MBT) at the Rhode Island Entrance in NE,"300 block of h street ne (between 3rd & 4th street, ne)",old city,9' x 2 1/2',6,Permanent,Commissioned Project,
